timestamp_ms,value,lead_ok
7,6,64501
18,0,1
9151,619,11
2,9,623141
2455,50,1
4,9,1
5,8,1
3,131604,511
275,3,1
283,543,1
8,5,1
6039417,3961417,1
3965,60996093,6761
603985,680,1
603989,555,1
603993,502,1
603997,542,1
604001,616,1
604005,658,1
604009,658,1
604013,630,1
604017,580,1
604021,538,1
604025,517,1
604029,510,1
604033,508,1
604037,509,1
604041,512,1
604045,509,1
604049,508,1
604053,509,1
604057,512,1
604061,512,1
604065,511,1
604069,512,1
604073,513,1
604077,513,1
604081,514,1
604085,513,1
604089,514,1
604093,516,1
604097,517,1
604101,516,1
604105,514,1
604109,516,1
604113,518,1
604117,521,1
604121,522,1
604125,521,1
604129,522,1
604133,523,1
604137,524,1
604141,525,1
604145,528,1
604149,531,1
604153,534,1
604157,536,1
604161,538,1
604165,540,1
604169,542,1
604173,545,1
604177,549,1
604181,554,1
604185,557,1
604189,562,1
604193,567,1
604197,570,1
604201,573,1
604205,577,1
604209,581,1
604213,586,1
604217,589,1
604221,590,1
604225,591,1
604229,592,1
604233,594,1
604237,592,1
604241,590,1
604245,586,1
604249,581,1
604253,576,1
604257,570,1
604261,564,1
604265,557,1
604269,550,1
604273,544,1
604277,540,1
604281,533,1
604285,526,1
604289,522,1
604293,519,1
604297,518,1
604301,516,1
604305,513,1
604309,509,1
604313,509,1
604317,512,1
604321,512,1
604325,508,1
604329,508,1
604333,507,1
604337,508,1
604341,507,1
604345,507,1
604349,506,1
604353,506,1
604357,505,1
604361,507,1
604365,507,1
604369,508,1
604373,508,1
604377,508,1
604381,508,1
604385,507,1
604389,508,1
604393,509,1
604397,512,1
604401,513,1
604405,513,1
604409,514,1
604413,516,1
604417,516,1
604421,517,1
604425,517,1
604429,517,1
604433,518,1
604437,521,1
604441,522,1
604445,521,1
604449,521,1
604453,521,1
604457,522,1
604461,523,1
604465,524,1
604469,525,1
604473,526,1
604477,528,1
604481,529,1
604485,529,1
604489,529,1
604493,531,1
604497,531,1
604501,532,1
604505,533,1
604509,533,1
604513,535,1
604517,536,1
604521,536,1
604525,535,1
604529,535,1
604533,535,1
604537,536,1
604541,538,1
604545,538,1
604549,536,1
604553,538,1
604557,540,1
604561,540,1
604565,540,1
604569,538,1
604573,538,1
604577,540,1
604581,541,1
604585,541,1
604589,542,1
604593,543,1
604597,543,1
604601,542,1
604605,541,1
604609,542,1
604613,541,1
604617,541,1
604621,544,1
604625,548,1
604629,553,1
604633,556,1
604637,562,1
604641,567,1
604645,562,1
604649,560,1
604653,556,1
604657,554,1
604661,552,1
604665,547,1
604669,545,1
604673,542,1
604677,541,1
604681,538,1
604685,538,1
604689,541,1
604693,541,1
604697,541,1
604701,541,1
604705,540,1
604709,540,1
604713,541,1
604717,542,1
604721,537,1
604725,529,1
604729,517,1
604733,505,1
604737,484,1
604741,451,1
604745,428,1
604749,433,1
604753,478,1
604757,573,1
604761,708,1
604765,810,1
604769,788,1
604773,658,1
604777,541,1
604781,497,1
604785,540,1
604789,608,1
604793,648,1
604797,648,1
604801,624,1
604805,579,1
604809,543,1
604813,525,1
604817,518,1
604821,516,1
604825,514,1
604829,516,1
604833,517,1
604837,518,1
604841,518,1
604845,518,1
604849,518,1
604853,518,1
604857,519,1
604861,519,1
604865,519,1
604869,519,1
604873,521,1
604877,523,1
604881,525,1
604885,524,1
604889,523,1
604893,524,1
604897,525,1
604901,528,1
604905,528,1
604909,528,1
604913,530,1
604917,532,1
604921,534,1
604925,534,1
604929,535,1
604933,536,1
604937,540,1
604941,542,1
604945,543,1
604949,546,1
604953,549,1
604957,554,1
604961,557,1
604965,561,1
604969,567,1
604973,569,1
604977,574,1
604981,579,1
604985,583,1
604989,586,1
604993,591,1
604997,595,1
605001,597,1
605005,598,1
605009,600,1
605013,602,1
605017,603,1
605021,602,1
605025,600,1
605029,595,1
605033,590,1
605037,585,1
605041,578,1
605045,569,1
605049,561,1
605053,553,1
605057,545,1
605061,540,1
605065,532,1
605069,525,1
605073,522,1
605077,521,1
605081,519,1
605085,517,1
605089,514,1
605093,512,1
605097,510,1
605101,508,1
605105,508,1
605109,508,1
605113,509,1
605117,509,1
605121,512,1
605125,511,1
605129,509,1
605133,508,1
605137,508,1
605141,508,1
605145,507,1
605149,507,1
605153,507,1
605157,508,1
605162,508,1
605166,508,1
605170,508,1
605174,509,1
605178,511,1
605182,512,1
605186,512,1
605190,512,1
605194,513,1
605198,514,1
605202,514,1
605206,516,1
605210,516,1
605214,517,1
605218,518,1
605222,519,1
605226,519,1
605230,520,1
605234,521,1
605238,522,1
605242,524,1
605246,523,1
605250,524,1
605254,525,1
605258,526,1
605262,529,1
605266,529,1
605270,529,1
605274,530,1
605278,531,1
605282,531,1
605286,530,1
605290,531,1
605294,532,1
605298,534,1
605302,534,1
605306,534,1
605310,533,1
605314,534,1
605318,535,1
605322,536,1
605326,536,1
605330,536,1
605334,536,1
605338,535,1
605342,535,1
605346,533,1
605350,533,1
605354,534,1
605358,536,1
605362,538,1
605366,538,1
605370,536,1
605374,536,1
605378,538,1
605382,541,1
605386,541,1
605390,541,1
605394,540,1
605398,540,1
605402,540,1
605406,540,1
605410,538,1
605414,538,1
605418,538,1
605422,538,1
605426,536,1
605430,535,1
605434,535,1
605438,536,1
605442,538,1
605446,538,1
605450,538,1
605454,540,1
605458,542,1
605462,542,1
605466,542,1
605470,541,1
605474,540,1
605478,541,1
605482,542,1
605486,542,1
605490,542,1
605494,541,1
605498,541,1
605502,542,1
605506,540,1
605510,538,1
605514,542,1
605518,546,1
605522,552,1
605526,554,1
605530,559,1
605534,562,1
605538,561,1
605542,561,1
605546,557,1
605550,554,1
605554,550,1
605558,549,1
605562,547,1
605566,544,1
605570,542,1
605574,541,1
