timestamp_ms,value,lead_ok
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547614,0,0
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547618,1024,1
547622,1024,1
547626,1024,1
547630,1024,1
547635,0,0
547639,1024,1
547643,1024,1
547647,1024,1
547651,1024,1
547655,0,0
547659,1024,1
547663,1024,1
547667,1024,1
547671,1024,1
547675,0,0
547679,1024,1
547683,1024,1
547687,1024,1
547691,1024,1
547695,0,0
547699,1024,1
547703,1024,1
547707,1024,1
547711,1024,1
547715,0,0
547719,1024,1
547723,1024,1
547727,1024,1
547731,1024,1
547735,0,0
547739,1024,1
547743,1024,1
547747,1024,1
547751,1024,1
547755,0,0
547759,1024,1
547763,1024,1
547767,1024,1
547771,1024,1
547775,0,0
547779,1024,1
547783,1024,1
547787,1024,1
547791,1024,1
547795,0,0
547799,1024,1
547803,1024,1
547807,1024,1
547811,1024,1
547815,0,0
547819,1024,1
547823,1024,1
547827,1024,1
547831,1024,1
547835,0,0
547839,1024,1
547843,1024,1
547847,1024,1
547851,0,0
547855,0,0
547859,1024,1
547863,1024,1
547867,1024,1
547871,0,0
547875,0,0
547879,1024,1
547883,1024,1
547887,1024,1
547891,0,0
547895,0,0
547899,1024,1
547903,1024,1
547907,1024,1
547911,0,0
547915,0,0
547919,1024,1
547923,1024,1
547927,1024,1
547931,0,0
547935,0,0
547939,1024,1
547943,1024,1
547947,1024,1
547951,0,0
547955,0,0
547959,1024,1
547963,1024,1
547967,1024,1
547971,0,0
547975,0,0
547979,1024,1
547983,1024,1
547987,1024,1
547991,0,0
547995,0,0
547999,1024,1
548003,1024,1
548007,1024,1
548011,0,0
548015,0,0
548019,1024,1
548023,1024,1
548027,1024,1
548031,0,0
548035,0,0
548039,1024,1
548043,1024,1
548047,1024,1
548051,0,0
548055,0,0
548059,1024,1
548063,1024,1
548067,1024,1
548071,0,0
548075,0,0
548079,1024,1
548083,1024,1
548087,1024,1
49717,1024,1
549721,1024,1
549725,1024,1
549729,0,0
549733,0,0
549737,1024,1
549741,1024,1
549745,1024,1
549737,1024,1
549741,1024,1
549745,1024,1
549737,1024,1
549741,1024,1
549745,1024,1
549749,0,0
549753,0,0
549757,1024,1
549761,1024,1
549765,1024,1
549769,0,0
549773,0,0
549777,1024,1
549781,1024,1
549785,1024,1
549789,0,0
549793,0,0
549797,1024,1
549801,1024,1
549805,1024,1
549809,0,0
549813,0,0
549817,1024,1
549821,1024,1
549825,1024,1
549829,0,0
549833,0,0
549837,1024,1
549841,1024,1
549845,1024,1
549849,0,0
549853,0,0
549857,1024,1
549861,1024,1
549865,1024,1
549869,0,0
549873,0,0
549877,1024,1
549881,1024,1
549885,1024,1
549889,0,0
549893,0,0
549897,1024,1
549901,1024,1
549905,1024,1
549909,0,0
549913,0,0
549917,1024,1
549921,1024,1
549925,1024,1
549929,0,0
549933,0,0
549937,1024,1
549941,1024,1
549945,1024,1
549949,0,0
549953,0,0
549957,1024,1
549961,1024,1
549965,1024,1
549969,0,0
549973,0,0
549977,1024,1
549981,1024,1
549985,1024,1
549989,0,0
549993,0,0
549997,1024,1
550001,1024,1
550005,1024,1
550009,0,0
550013,0,0
550017,1024,1
550021,1024,1
550025,1024,1
550029,0,0
550033,1024,1
550037,1024,1
550041,1024,1
550045,1024,1
550049,0,0
550053,0,0
550057,1024,1
550061,1024,1
550065,1024,1
550069,0,0
550073,1024,1
550077,1024,1
550081,1024,1
550085,1024,1
550089,0,0
550093,1024,1
550097,1024,1
550101,1024,1
550105,1024,1
550109,0,0
550113,1024,1
550117,1024,1
550121,1024,1
550125,1024,1
550129,0,0
550133,1024,1
550137,1024,1
550141,1024,1
550145,1024,1
550149,0,0
550153,1024,1
550157,1024,1
550161,1024,1
550165,1024,1
550169,0,0
550173,1024,1
550177,1024,1
550181,1024,1
550185,1024,1
550189,0,0
550193,1024,1
550197,1024,1
550201,1024,1
550205,1024,1
550209,0,0
550213,1024,1
550217,1024,1
550221,1024,1
550225,1024,1
550229,0,0
550233,1024,1
550237,1024,1
550241,1024,1
550245,1024,1
550249,0,0
550253,1024,1
550257,1024,1
550261,1024,1
550265,1024,1
550269,0,0
550273,1024,1
550277,1024,1
550281,1024,1
550285,1024,1
550289,0,0
550293,1024,1
550297,1024,1
550302,1024,1
