timestamp_ms,value,lead_ok,ax100,ay100,az100,motion_flag
32907,544,1,0,0,0,0
1632915,546,1,0,0,0,0
1632923,546,1,0,0,0,0
1632931,546,1,0,0,0,0
1632939,553,1,0,0,0,0
1632947,546,1,0,0,0,0
1632955,546,1,0,0,0,0
1632963,547,1,0,0,0,0
1632971,547,1,0,0,0,0
1632979,552,1,0,0,0,0
1632987,544,1,0,0,0,0
1632995,550,1,0,0,0,0
1633003,550,1,0,0,0,0
1633011,545,1,0,0,0,0
1633019,553,1,0,0,0,0
1633027,552,1,0,0,0,0
1633035,548,1,0,0,0,0
1633043,552,1,0,0,0,0
1633051,549,1,0,0,0,0
1633059,549,1,0,0,0,0
1633067,547,1,0,0,0,0
1633075,547,1,0,0,0,0
1633083,544,1,0,0,0,0
1633091,543,1,0,0,0,0
1633099,553,1,0,0,0,0
1633107,553,1,0,0,0,0
1633115,549,1,0,0,0,0
1633123,550,1,0,0,0,0
1633131,545,1,0,0,0,0
1633139,553,1,0,0,0,0
1633147,553,1,0,0,0,0
1633155,547,1,0,0,0,0
1633163,559,1,0,0,0,0
1633171,566,1,0,0,0,0
1633179,567,1,0,0,0,0
1633187,556,1,0,0,0,0
1633195,552,1,0,0,0,0
1633203,550,1,0,0,0,0
1633211,546,1,0,0,0,0
1633219,552,1,0,0,0,0
1633227,546,1,0,0,0,0
1633235,543,1,0,0,0,0
1633243,547,1,0,0,0,0
1633251,538,1,0,0,0,0
1633259,516,1,0,0,0,0
1633267,448,1,0,0,0,0
1633275,361,1,0,0,0,0
1633283,445,1,0,0,0,0
1633291,747,1,0,0,0,0
1633299,898,1,0,0,0,0
1633307,639,1,0,0,0,0
1633315,673,1,0,0,0,0
1633323,727,1,0,0,0,0
1633331,622,1,0,0,0,0
1633339,534,1,0,0,0,0
1633347,509,1,0,0,0,0
1633355,502,1,0,0,0,0
1633363,502,1,0,0,0,0
1633371,502,1,0,0,0,0
1633379,505,1,0,0,0,0
1633387,498,1,0,0,0,0
1633395,502,1,0,0,0,0
1633403,504,1,0,0,0,0
1633411,505,1,0,0,0,0
1633419,509,1,0,0,0,0
1633427,508,1,0,0,0,0
1633435,513,1,0,0,0,0
1633443,511,1,0,0,0,0
1633451,513,1,0,0,0,0
1633459,523,1,0,0,0,0
1633467,522,1,0,0,0,0
1633475,528,1,0,0,0,0
1633483,530,1,0,0,0,0
1633491,536,1,0,0,0,0
1633499,547,1,0,0,0,0
1633507,546,1,0,0,0,0
1633515,559,1,0,0,0,0
1633523,570,1,0,0,0,0
1633531,574,1,0,0,0,0
1633539,589,1,0,0,0,0
1633547,589,1,0,0,0,0
1633555,590,1,0,0,0,0
1633563,589,1,0,0,0,0
1633571,577,1,0,0,0,0
1633579,573,1,0,0,0,0
1633587,554,1,0,0,0,0
1633595,545,1,0,0,0,0
1633603,533,1,0,0,0,0
1633611,529,1,0,0,0,0
1633619,528,1,0,0,0,0
1633627,520,1,0,0,0,0
1633635,522,1,0,0,0,0
1633643,523,1,0,0,0,0
1633651,521,1,0,0,0,0
