timestamp_ms,value,lead_ok,ax100,ay100,az100,motion_flag
104,52,1000,0,0,100,0
1602292,579,1,0,0,0,0
1602300,690,1,0,0,0,0
1602308,706,1,0,0,0,0
1602316,588,1,0,0,0,0
1602324,519,1,0,0,0,0
1602332,514,1,0,0,0,0
1602340,508,1,0,0,0,0
1602348,506,1,0,0,0,0
1602356,506,1,0,0,0,0
1602364,507,1,0,0,0,0
1602372,509,1,0,0,0,0
1602380,508,1,0,0,0,0
602388,506,1,0,0,0,0
2404,513,1,0,0,0,0
2460,528,1,0,0,0,0
2580,538,1,0,0,0,0
2604,523,1,0,0,0,0
2628,523,1000,0,0,100,0
1602733,523,1,0,0,0,0
1602741,526,1,0,0,0,0
1602749,526,1,0,0,0,0
1602757,530,1,0,0,0,0
1602765,533,1,0,0,0,0
1602773,538,1,0,0,0,0
1602781,535,1,0,0,0,0
1602789,535,1,0,0,0,0
1602797,542,1,0,0,0,0
1602805,541,1,0,0,0,0
1602813,546,1,0,0,0,0
1602821,542,1,0,0,0,0
1602829,544,1,0,0,0,0
602837,546,1,0,0,0,0
602845,552,1,0,0,0,0
1602853,555,1,0,0,0,0
1602861,544,1,0,0,0,0
1602869,547,1,0,0,0,0
1602877,554,1,0,0,0,0
1602885,553,1,0,0,0,0
1602893,552,1,0,0,0,0
1602901,552,1,0,0,0,0
1602909,554,1,0,0,0,0
1602917,554,1,0,0,0,0
1602925,556,1,0,0,0,0
1602933,556,1,0,0,0,0
1602941,546,1,0,0,0,0
297,550,0,0,0,100,0
6345,5,0,0,0,100,0
1603069,555,1,0,0,0,0
1603077,561,1,0,0,0,0
1603085,567,1,0,0,0,0
1603093,577,1,0,0,0,0
1603101,569,1,0,0,0,0
1603109,564,1,0,0,0,0
1603117,571,1,0,0,0,0
1603125,555,1,0,0,0,0
1603133,560,1,0,0,0,0
1603141,557,1,0,0,0,0
1603149,553,1,0,0,0,0
1603157,547,1,0,0,0,0
19,6,0,0,0,100,0
1603381,518,1,0,0,0,0
1603389,522,1,0,0,0,0
1603397,526,1,0,0,0,0
1603405,525,1,0,0,0,0
1603413,535,1,0,0,0,0
1603421,536,1,0,0,0,0
1603429,542,1,0,0,0,0
1603437,558,1,0,0,0,0
1603445,562,1,0,0,0,0
1603453,570,1,0,0,0,0
1603461,581,1,0,0,0,0
1603469,588,1,0,0,0,0
493,59,1,0,0,0,0
1550,1,0,0,0,100,0
1603861,552,1,0,0,0,0
1603869,552,1,0,0,0,0
1603877,556,1,0,0,0,0
1603885,547,1,0,0,0,0
1603893,555,1,0,0,0,0
1603901,554,1,0,0,0,0
1603909,552,1,0,0,0,0
1603917,553,1,0,0,0,0
1603925,552,1,0,0,0,0
1603933,553,1,0,0,0,0
1603941,547,1,0,0,0,0
1603949,549,1,0,0,0,0
94,560,1,0,0,0,0
1604118,5501604126,1,0,0,100,0
1604,0,0,0,0,100,0
1604278,505,1,0,0,0,0
1604286,500,1,0,0,0,0
1604294,502,1,0,0,0,0
1604302,501,1,0,0,0,0
1604310,499,1,0,0,0,0
1604318,504,1,0,0,0,0
1604326,507,1,0,0,0,0
1604334,507,1,0,0,0,0
1604342,505,1,0,0,0,0
1604350,505,1,0,0,0,0
1604358,514,1,0,0,0,0
1604366,513,1,0,0,0,0
104406,536,1,0,0,0,0
1604662,526,1,0,0,0,0
1604670,531,1,0,0,0,0
1604678,533,1,0,0,0,0
1604686,532,1,0,0,0,0
1604694,530,1,0,0,0,0
1604702,531,1,0,0,0,0
1604710,535,1,0,0,0,0
1604718,543,1,0,0,0,0
1604726,533,1,0,0,0,0
1604734,534,1,0,0,0,0
1604742,542,1,0,0,0,0
1604750,542,1,0,0,0,0
4774,543,1,0,0,0,0
4,547,0,0,0,100,0
4790,43,1,0,0,0,0
4814,550,1,0,0,0,0
4966,562,1,0,0,0,0
342,590,1,0,0,0,0
1605382,543,1,0,0,0,0
1605390,534,1,0,0,0,0
1605398,534,1,0,0,0,0
1605406,523,1,0,0,0,0
1605415,525,1,0,0,0,0
1605423,528,1,0,0,0,0
1605431,528,1,0,0,0,0
1605439,523,1,0,0,0,0
1605447,524,1,0,0,0,0
1605455,524,1,0,0,0,0
1605463,525,1,0,0,0,0
1605471,519,1,0,0,0,0
1605479,517,1,0,0,0,0
1,554,1000,0,0,100,0
1605759,549,1000,0,0,100,0
775,553,1,0,0,0,0
1605783,555,1,0,0,0,0
1605791,554,1,0,0,0,0
1605799,556,1,0,0,0,0
1605807,552,1,0,0,0,0
1605815,549,1,0,0,0,0
1605823,553,1,0,0,0,0
1605831,549,1,0,0,0,0
1605839,550,1,0,0,0,0
1605847,550,1,0,0,0,0
1605855,545,1,0,0,0,0
1605863,559,1,0,0,0,0
1605871,560,1,0,0,0,0
9,552,1,0,0,0,0
60567,546,1000,0,0,100,0
975,532,1,0,0,0,0
63,55,1,0,0,0,0
606071,0,0,0,0,100,0
1606159,517,1,0,0,0,0
1606167,508,1,0,0,0,0
1606175,509,1,0,0,0,0
1606183,517,1,0,0,0,0
1606191,522,1,0,0,0,0
1606199,529,1,0,0,0,0
1606207,530,1,0,0,0,0
1606215,537,1,0,0,0,0
1606223,546,1,0,0,0,0
1606231,555,1,0,0,0,0
1606239,571,1,0,0,0,0
1606247,574,1,0,0,0,0
10,590,1,0,0,1011000,1
195,50100,0,0,0,100,0
6375,525,1,0,0,0,1
6399,53,1,0,0,0,1
640,52,1,0,0,0,1
6583,5,0,0,0,100,0
591,548,1,0,0,0,1
1606631,552,1,0,0,0,1
1606639,556,1,0,0,0,1
1606647,553,1,0,0,0,1
1606655,548,1,0,0,0,1
1606663,552,1,0,0,0,1
1606671,547,1,0,0,0,1
1606679,553,1,0,0,0,1
1606687,552,1,0,0,0,1
1606695,547,1,0,0,0,1
1606703,552,1,0,0,0,1
1606711,545,1,0,0,0,1
1606719,552,1,0,0,0,1
1606727,550,1,0,0,0,1
1606735,550,1,0,0,0,1
1606743,550,1,0,0,0,1
1606752,546,1,0,0,0,1
1606760,554,1,0,0,0,1
1606768,549,1,0,0,0,1
1606776,550,1,0,0,0,1
1606784,553,1,0,0,0,1
1606792,547,1,0,0,0,0
1606800,559,1,0,0,0,0
1606808,561,1,0,0,0,0
1606816,561,1,0,0,0,0
1606824,566,1,0,0,0,0
1606832,559,1,0,0,0,0
1606840,554,1,0,0,0,0
1606848,547,1,0,0,0,0
1606856,550,1,0,0,0,0
1606864,550,1,0,0,0,0
1606872,543,1,0,0,0,0
1606880,549,1,0,0,0,0
1606888,542,1,0,0,0,0
1606896,508,1,0,0,0,0
1606904,438,1,0,0,0,0
1606912,354,1,0,0,0,0
1606920,449,1,0,0,0,0
1606928,772,1,0,0,0,0
1606936,883,1,0,0,0,0
1606944,630,1,0,0,0,0
1606952,675,1,0,0,0,0
1606960,732,1,0,0,0,0
1606968,624,1,0,0,0,0
1606976,528,1,0,0,0,0
1606984,514,1,0,0,0,0
1606992,501,1,0,0,0,0
1607000,502,1,0,0,0,0
1607008,506,1,0,0,0,0
1607016,504,1,0,0,0,0
1607024,506,1,0,0,0,0
1607032,498,1,0,0,0,0
1607040,502,1,0,0,0,0
1607048,508,1,0,0,0,0
1607056,508,1,0,0,0,0
1607064,505,1,0,0,0,0
1607072,512,1,0,0,0,0
1607080,516,1,0,0,0,0
1607088,516,1,0,0,0,0
1607096,520,1,0,0,0,0
1607104,526,1,0,0,0,0
1607112,522,1,0,0,0,0
1607120,530,1,0,0,0,0
1607128,542,1,0,0,0,0
1607136,542,1,0,0,0,0
1607144,556,1,0,0,0,0
1607152,561,1,0,0,0,0
1607160,571,1,0,0,0,0
1607168,581,1,0,0,0,0
1607176,586,1,0,0,0,0
1607184,589,1,0,0,0,0
1607192,588,1,0,0,0,0
1607200,588,1,0,0,0,0
1607208,579,1,0,0,0,0
1607216,566,1,0,0,0,0
1607224,557,1,0,0,0,0
1607232,536,1,0,0,0,0
1607240,532,1,0,0,0,0
1607248,526,1,0,0,0,0
1607256,523,1,0,0,0,0
1607264,522,1,0,0,0,0
1607272,521,1,0,0,0,0
1607280,521,1,0,0,0,0
1607288,522,1,0,0,0,0
1607296,517,1,0,0,0,0
1607304,518,1,0,0,0,0
1607312,514,1,0,0,0,0
1607320,516,1,0,0,0,0
1607328,516,1,0,0,0,0
1607336,513,1,0,0,0,0
1607344,516,1,0,0,0,0
1607352,513,1,0,0,0,0
1607360,512,1,0,0,0,0
1607368,514,1,0,0,0,0
1607376,525,1,0,0,0,0
1607384,526,1,0,0,0,0
1607392,524,1,0,0,0,0
1607400,529,1,0,0,0,0
1607408,526,1,0,0,0,0
1607416,525,1,0,0,0,0
1607424,533,1,0,0,0,0
1607432,531,1,0,0,0,0
1607440,532,1,0,0,0,0
1607448,541,1,0,0,0,0
1607456,533,1,0,0,0,0
1607464,545,1,0,0,0,0
1607472,537,1,0,0,0,0
1607480,535,1,0,0,0,0
1607488,543,1,0,0,0,0
1607496,542,1,0,0,0,0
1607504,548,1,0,0,0,0
1607512,545,1,0,0,0,0
1607520,542,1,0,0,0,0
1607528,550,1,0,0,0,0
1607536,546,1,0,0,0,0
1607544,553,1,0,0,0,0
1607552,547,1,0,0,0,0
1607560,547,1,0,0,0,0
1607568,552,1,0,0,0,0
1607576,548,1,0,0,0,0
1607584,547,1,0,0,0,0
1607592,545,1,0,0,0,0
1607600,550,1,0,0,0,0
1607608,546,1,0,0,0,0
1607616,545,1,0,0,0,0
1607624,554,1,0,0,0,0
1607632,554,1,0,0,0,0
1607640,566,1,0,0,0,0
1607648,574,1,0,0,0,0
1607656,567,1,0,0,0,0
1607664,561,1,0,0,0,0
1607672,555,1,0,0,0,0
1607680,546,1,0,0,0,0
1607688,546,1,0,0,0,0
1607696,547,1,0,0,0,0
1607704,546,1,0,0,0,0
1607712,544,1,0,0,0,0
1607720,546,1,0,0,0,0
1607728,545,1,0,0,0,0
1607736,508,1,0,0,0,0
1607744,436,1,0,0,0,0
1607752,355,1,0,0,0,0
1607760,469,1,0,0,0,0
1607768,793,1,0,0,0,0
1607776,873,1,0,0,0,0
1607784,608,1,0,0,0,0
1607792,653,1,0,0,0,0
1607800,725,1,0,0,0,0
1607808,633,1,0,0,0,0
1607816,531,1,0,0,0,0
1607824,519,1,0,0,0,0
1607832,513,1,0,0,0,0
1607840,514,1,0,0,0,0
1607848,511,1,0,0,0,0
1607856,509,1,0,0,0,0
1607864,509,1,0,0,0,0
1607872,509,1,0,0,0,0
1607880,509,1,0,0,0,0
1607888,513,1,0,0,0,0
1607896,512,1,0,0,0,0
1607904,513,1,0,0,0,0
1607912,517,1,0,0,0,0
1607920,523,1,0,0,0,0
1607928,530,1,0,0,0,0
1607936,525,1,0,0,0,0
1607944,534,1,0,0,0,0
1607952,534,1,0,0,0,0
1607960,540,1,0,0,0,0
1607968,547,1,0,0,0,0
1607976,554,1,0,0,0,0
1607984,566,1,0,0,0,0
1607992,570,1,0,0,0,0
1608000,577,1,0,0,0,0
1608008,590,1,0,0,0,0
1608016,589,1,0,0,0,0
1608024,596,1,0,0,0,0
1608032,601,1,0,0,0,0
1608040,597,1,0,0,0,0
1608048,588,1,0,0,0,0
1608056,573,1,0,0,0,0
1608064,562,1,0,0,0,0
1608073,545,1,0,0,0,0
1608081,534,1,0,0,0,0
1608089,537,1,0,0,0,0
1608097,532,1,0,0,0,0
1608105,540,1,0,0,0,0
1608113,530,1,0,0,0,0
1608121,528,1,0,0,0,0
1608129,535,1,0,0,0,0
1608137,530,1,0,0,0,0
1608145,528,1,0,0,0,0
1608153,523,1,0,0,0,0
1608161,526,1,0,0,0,0
1608169,530,1,0,0,0,0
1608177,519,1,0,0,0,0
1608185,528,1,0,0,0,0
1608193,522,1,0,0,0,0
1608201,523,1,0,0,0,0
1608209,526,1,0,0,0,0
1608217,525,1,0,0,0,0
1608225,534,1,0,0,0,0
1608233,531,1,0,0,0,0
1608241,530,1,0,0,0,0
1608249,538,1,0,0,0,0
1608257,534,1,0,0,0,0
1608265,538,1,0,0,0,0
1608273,542,1,0,0,0,0
1608281,536,1,0,0,0,0
1608289,542,1,0,0,0,0
1608297,545,1,0,0,0,0
1608305,546,1,0,0,0,0
1608313,543,1,0,0,0,0
1608321,545,1,0,0,0,0
1608329,546,1,0,0,0,0
1608337,550,1,0,0,0,0
1608345,553,1,0,0,0,0
1608353,546,1,0,0,0,0
1608361,547,1,0,0,0,0
1608369,546,1,0,0,0,0
1608377,546,1,0,0,0,0
1608385,553,1,0,0,0,0
1608393,550,1,0,0,0,0
1608401,546,1,0,0,0,0
1608409,552,1,0,0,0,0
