timestamp_ms,value,lead_ok,ax100,ay100,az100,motion_flag
1776504,509,1,0,0,0,0
1776512,505,1,0,0,0,0
1776520,514,1,0,0,0,0
1776528,513,1,0,0,0,0
1776536,509,1,0,0,0,0
1776544,519,1,0,0,0,0
1776552,519,1,0,0,0,0
1776560,523,1,0,0,0,0
1776568,525,1,0,0,0,0
1776576,532,1,0,0,0,0
1776584,541,1,0,0,0,0
1776592,541,1,0,0,0,0
1776600,546,1,0,0,0,0
1776608,553,1,0,0,0,0
1776616,560,1,0,0,0,0
1776624,579,1,0,0,0,0
1776632,581,1,0,0,0,0
1776640,588,1,0,0,0,0
1776648,590,1,0,0,0,0
1776656,592,1,0,0,0,0
1776664,592,1,0,0,0,0
1776672,576,1,0,0,0,0
1776680,566,1,0,0,0,0
1776688,546,1,0,0,0,0
1776696,541,1,0,0,0,0
1776704,533,1,0,0,0,0
1776712,524,1,0,0,0,0
1776720,521,1,0,0,0,0
1776728,518,1,0,0,0,0
1776736,518,1,0,0,0,0
1776744,524,1,0,0,0,0
1776752,519,1,0,0,0,0
1776760,522,1,0,0,0,0
1776768,522,1,0,0,0,0
1776776,519,1,0,0,0,0
1776784,518,1,0,0,0,0
1776792,516,1,0,0,0,0
1776800,520,1,0,0,0,0
1776808,517,1,0,0,0,0
1776816,514,1,0,0,0,0
1776824,521,1,0,0,0,0
1776832,518,1,0,0,0,0
1776840,521,1,0,0,0,0
1776848,525,1,0,0,0,0
1776856,528,1,0,0,0,0
1776864,528,1,0,0,0,0
1776872,524,1,0,0,0,0
1776880,533,1,0,0,0,0
1776888,536,1,0,0,0,0
1776896,535,1,0,0,0,0
1776904,535,1,0,0,0,0
1776912,534,1,0,0,0,0
1776920,538,1,0,0,0,0
1776928,538,1,0,0,0,0
1776936,535,1,0,0,0,0
1776944,538,1,0,0,0,0
1776952,538,1,0,0,0,0
1776960,543,1,0,0,0,0
1776968,542,1,0,0,0,0
1776976,542,1,0,0,0,0
1776984,550,1,0,0,0,0
1776992,545,1,0,0,0,0
1777000,546,1,0,0,0,0
1777008,543,1,0,0,0,0
1777016,543,1,0,0,0,0
1777024,552,1,0,0,0,0
1777032,546,1,0,0,0,0
1777040,543,1,0,0,0,0
1777048,545,1,0,0,0,0
1777056,545,1,0,0,0,0
1777064,549,1,0,0,0,0
1777072,546,1,0,0,0,0
1777080,546,1,0,0,0,0
1777088,543,1,0,0,0,0
1777096,545,1,0,0,0,0
1777104,552,1,0,0,0,0
1777112,547,1,0,0,0,0
1777120,545,1,0,0,0,0
1777128,543,1,0,0,0,0
1777136,545,1,0,0,0,0
1777144,552,1,0,0,0,0
1777152,545,1,0,0,0,0
1777160,540,1,0,0,0,0
1777168,540,1,0,0,0,0
1777176,540,1,0,0,0,0
1777184,548,1,0,0,0,0
1777192,547,1,0,0,0,0
1777200,545,1,0,0,0,0
1777208,559,1,0,0,0,0
1777216,566,1,0,0,0,0
1777224,566,1,0,0,0,0
1777232,552,1,0,0,0,0
1777240,550,1,0,0,0,0
1777248,546,1,0,0,0,0
1777256,542,1,0,0,0,0
1777264,546,1,0,0,0,0
1777272,541,1,0,0,0,0
1777280,542,1,0,0,0,0
1777288,544,1,0,0,0,0
1777296,528,1,0,0,0,0
1777304,500,1,0,0,0,0
1777312,412,1,0,0,0,0
1777320,377,1,0,0,0,0
1777328,522,1,0,0,0,0
1777336,823,1,0,0,0,0
1777344,756,1,0,0,0,0
1777352,594,1,0,0,0,0
1777360,708,1,0,0,0,0
1777368,686,1,0,0,0,0
1777376,567,1,0,0,0,0
1777384,514,1,0,0,0,0
1777392,502,1,0,0,0,0
1777400,507,1,0,0,0,0
1777408,499,1,0,0,0,0
1777416,500,1,0,0,0,0
1777424,512,1,0,0,0,0
1777432,506,1,0,0,0,0
1777440,502,1,0,0,0,0
1777448,505,1,0,0,0,0
1777456,501,1,0,0,0,0
1777465,513,1,0,0,0,0
1777473,509,1,0,0,0,0
1777481,507,1,0,0,0,0
1777489,509,1,0,0,0,0
1777497,517,1,0,0,0,0
1777505,525,1,0,0,0,0
1777513,523,1,0,0,0,0
1777521,523,1,0,0,0,0
1777529,534,1,0,0,0,0
1777537,537,1,0,0,0,0
1777545,552,1,0,0,0,0
1777553,555,1,0,0,0,0
1777561,568,1,0,0,0,0
1777569,580,1,0,0,0,0
1777577,580,1,0,0,0,0
1777585,590,1,0,0,0,0
1777593,590,1,0,0,0,0
1777601,585,1,0,0,0,0
1777609,584,1,0,0,0,0
1777617,573,1,0,0,0,0
1777625,562,1,0,0,0,0
1777633,545,1,0,0,0,0
1777641,536,1,0,0,0,0
1777649,535,1,0,0,0,0
1777657,526,1,0,0,0,0
1777665,523,1,0,0,0,0
1777673,517,1,0,0,0,0
1777681,528,1,0,0,0,0
1777689,523,1,0,0,0,0
1777697,516,1,0,0,0,0
1777705,525,1,0,0,0,0
1777713,521,1,0,0,0,0
1777721,521,1,0,0,0,0
1777729,519,1,0,0,0,0
1777737,509,1,0,0,0,0
1777745,516,1,0,0,0,0
1777753,513,1,0,0,0,0
1777761,516,1,0,0,0,0
1777769,519,1,0,0,0,0
1777777,520,1,0,0,0,0
1777785,526,1,0,0,0,0
1777793,522,1,0,0,0,0
1777801,525,1,0,0,0,0
1777809,524,1,0,0,0,0
1777817,524,1,0,0,0,0
1777825,525,1,0,0,0,0
1777833,521,1,0,0,0,0
1777841,526,1,0,0,0,0
1777849,526,1,0,0,0,0
1777857,533,1,0,0,0,0
1777865,535,1,0,0,0,0
1777873,533,1,0,0,0,0
1777881,537,1,0,0,0,0
1777889,535,1,0,0,0,0
1777897,533,1,0,0,0,0
1777905,542,1,0,0,0,0
1777913,542,1,0,0,0,0
1777921,541,1,0,0,0,0
1777929,535,1,0,0,0,0
1777937,536,1,0,0,0,0
1777945,541,1,0,0,0,0
1777953,542,1,0,0,0,0
1777961,546,1,0,0,0,0
1777969,544,1,0,0,0,0
1777977,542,1,0,0,0,0
1777985,546,1,0,0,0,0
1777993,528,1,0,0,0,0
1778001,535,1,0,0,0,0
1778009,542,1,0,0,0,0
0,0,0,0,0,100,0
1778681,521,1,0,0,0,0
1778689,519,1,0,0,0,0
1778697,518,1,0,0,0,0
1778705,522,1,0,0,0,0
1778713,516,1,0,0,0,0
