timestamp_ms,value,lead_ok
126791,0,0
126795,5,1
126799,4,1
126803,4,1
126807,0,0
126811,0,0
126815,5,1
126819,4,1
126823,4,1
126827,0,0
126831,0,0
126835,5,1
126839,4,1
126843,4,1
126847,0,0
126851,0,0
126855,5,1
126859,4,1
126863,4,1
126867,0,0
126871,0,0
126875,4,1
126879,4,1
126883,4,1
126887,0,0
126891,0,0
126895,5,1
126899,4,1
126903,4,1
126907,0,0
126911,0,0
126915,5,1
126919,4,1
126923,4,1
126927,0,0
126931,0,0
126935,4,1
126939,4,1
126943,4,1
126947,0,0
126951,0,0
126955,5,1
126959,4,1
126963,4,1
126967,0,0
126971,0,0
126975,5,1
126979,4,1
126983,4,1
126987,0,0
126991,0,0
126995,5,1
126999,4,1
127003,4,1
127007,0,0
127011,0,0
127015,4,1
127019,4,1
127023,4,1
127027,0,0
127031,0,0
127035,5,1
127039,4,1
127043,4,1
127047,0,0
127052,0,0
127056,5,1
127060,4,1
127064,4,1
127068,0,0
127072,0,0
127076,5,1
127080,4,1
127084,4,1
127088,0,0
127092,0,0
127096,5,1
127100,4,1
127104,4,1
127108,0,0
127112,0,0
127116,5,1
127120,4,1
127124,4,1
127128,0,0
127132,0,0
127136,4,1
127140,4,1
127144,4,1
127148,0,0
127152,0,0
127156,5,1
127160,4,1
127164,4,1
127168,0,0
127172,0,0
127176,5,1
127180,4,1
127184,0,0
127188,0,0
127192,0,0
127196,5,1
127200,4,1
127204,0,0
127208,0,0
127212,0,0
127216,5,1
127220,4,1
127224,0,0
127228,0,0
127232,0,0
127236,4,1
127240,4,1
127244,0,0
127248,0,0
127252,0,0
127256,5,1
127260,4,1
127264,0,0
127268,0,0
127272,0,0
127276,4,1
127280,4,1
127284,0,0
127288,0,0
127292,0,0
127296,5,1
127300,4,1
127304,0,0
127308,0,0
127312,0,0
127316,5,1
127320,4,1
127324,0,0
127328,0,0
127332,0,0
127336,5,1
127340,4,1
127344,0,0
127348,0,0
127352,0,0
127356,4,1
127360,4,1
127364,0,0
127368,0,0
127372,0,0
127376,4,1
127380,4,1
127384,0,0
127388,0,0
127392,0,0
127396,4,1
127400,4,1
127404,0,0
127408,0,0
127412,0,0
127416,5,1
127420,4,1
127424,0,0
127428,0,0
127432,0,0
127436,5,1
127440,4,1
127444,0,0
127448,0,0
127452,0,0
127456,5,1
127460,4,1
127464,0,0
127468,0,0
127472,0,0
127476,4,1
127480,4,1
127484,0,0
127488,0,0
127492,0,0
127496,4,1
127500,4,1
127504,0,0
127508,0,0
127512,0,0
127516,4,1
127520,4,1
127524,0,0
127528,0,0
127532,0,0
127536,5,1
