timestamp_ms,value,lead_ok
503356,555,1
503360,507,1
503364,508,1
503368,533,1
503372,569,1
503376,556,1
503380,514,1
503384,518,1
503388,535,1
503392,566,1
503396,550,1
503400,513,1
503404,521,1
503408,542,1
503412,571,1
503417,553,1
503421,512,1
503425,521,1
503429,543,1
503433,571,1
503437,553,1
503441,512,1
503445,526,1
503449,550,1
503453,580,1
503457,561,1
503461,518,1
503465,525,1
503469,543,1
503473,570,1
503477,554,1
503481,514,1
503485,521,1
503489,540,1
503493,570,1
503497,555,1
503501,516,1
503505,525,1
503509,547,1
503513,576,1
503517,555,1
503521,516,1
503525,528,1
503529,549,1
503533,576,1
503537,554,1
503541,513,1
503545,521,1
503549,538,1
503553,570,1
503557,555,1
503561,518,1
503565,530,1
503569,554,1
503573,590,1
503577,577,1
503581,533,1
503585,537,1
503589,554,1
503593,580,1
503597,557,1
503601,514,1
503605,521,1
503609,542,1
503613,574,1
503617,556,1
503621,516,1
503625,522,1
503629,545,1
503633,579,1
503637,556,1
503641,509,1
503645,511,1
503649,517,1
503653,526,1
503657,482,1
503661,401,1
503665,382,1
503669,413,1
503673,495,1
503677,570,1
503681,662,1
503685,786,1
503689,777,1
503693,665,1
503697,533,1
503701,489,1
503705,581,1
503709,676,1
503713,724,1
503717,667,1
503721,571,1
503725,536,1
503729,535,1
503733,554,1
503737,530,1
503741,489,1
503745,499,1
503749,518,1
503753,545,1
503757,526,1
503761,488,1
503765,499,1
503769,520,1
503773,547,1
503777,525,1
503781,487,1
503785,499,1
503789,521,1
503793,545,1
503797,522,1
503801,484,1
503805,497,1
503809,521,1
503813,552,1
503817,526,1
503821,486,1
503825,498,1
503829,521,1
503833,550,1
503837,528,1
503841,490,1
503845,507,1
503849,533,1
503853,566,1
503857,542,1
503861,505,1
503865,519,1
503869,543,1
503873,577,1
503877,560,1
503881,526,1
503885,541,1
503889,567,1
503893,600,1
503897,580,1
503901,546,1
503905,560,1
503909,584,1
503913,618,1
503917,595,1
503921,556,1
503925,567,1
